franchise_id,tbl_dt,sell_amount,name
2.51E+11,3/25/2023,300,CITY COM LTD
2.51E+11,3/25/2023,100,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/25/2023,400,Barthazal
2.51E+11,3/25/2023,350,NYUNGWE CELLULAR LTD
2.51E+11,3/25/2023,500,ESCALE FRANCHISEE LTD
2.51E+11,3/25/2023,200,ESCALE FRANCHISEE LTD
2.51E+11,3/25/2023,300,CITY COM LTD
2.51E+11,3/26/2023,4399165,Balthazar
2.51E+11,3/26/2023,419059,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,5973509,PHONECOM LTD
2.51E+11,3/26/2023,11567118,CITY COM LTD
2.51E+11,3/26/2023,8854713,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/26/2023,12170153,Barthazal
2.51E+11,3/26/2023,6108132,NYUNGWE CELLULAR LTD
2.51E+11,3/26/2023,3482979,CITY COM LTD
2.51E+11,3/26/2023,17160220,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,10843346,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,7860708,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,13113608,CITY COM LTD
2.51E+11,3/26/2023,874622,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,7276545,PHONECOM LTD
2.51E+11,3/27/2023,4247048,Balthazar
2.51E+11,3/27/2023,360411,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,8852654,PHONECOM LTD
2.51E+11,3/27/2023,14040920,CITY COM LTD
2.51E+11,3/27/2023,9201466,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/27/2023,11755162,Barthazal
2.51E+11,3/27/2023,7208155,NYUNGWE CELLULAR LTD
2.51E+11,3/27/2023,3200928,CITY COM LTD
2.51E+11,3/27/2023,18338926,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,10926218,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,8117506,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,14284658,CITY COM LTD
2.51E+11,3/27/2023,755076,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,8664474,PHONECOM LTD
2.51E+11,3/28/2023,4103202,Balthazar
2.51E+11,3/28/2023,357360,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,9934355,PHONECOM LTD
2.51E+11,3/28/2023,13194744,CITY COM LTD
2.51E+11,3/28/2023,10276365,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/28/2023,12444637,Barthazal
2.51E+11,3/28/2023,5785868,NYUNGWE CELLULAR LTD
2.51E+11,3/28/2023,3055243,CITY COM LTD
2.51E+11,3/28/2023,18066379,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,10701700,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,8706326,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,13796946,CITY COM LTD
2.51E+11,3/28/2023,740509,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,7750535,PHONECOM LTD
2.51E+11,3/29/2023,4194113,Balthazar
2.51E+11,3/29/2023,374182,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,7978180,PHONECOM LTD
2.51E+11,3/29/2023,14734906,CITY COM LTD
2.51E+11,3/29/2023,10238794,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/29/2023,12164609,Barthazal
2.51E+11,3/29/2023,7554119,NYUNGWE CELLULAR LTD
2.51E+11,3/29/2023,3171129,CITY COM LTD
2.51E+11,3/29/2023,18939625,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,11124910,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,8531469,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,13945368,CITY COM LTD
2.51E+11,3/29/2023,826023,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,8114482,PHONECOM LTD
2.51E+11,3/30/2023,4302751,Balthazar
2.51E+11,3/30/2023,388461,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,13321225,PHONECOM LTD
2.51E+11,3/30/2023,16942678,CITY COM LTD
2.51E+11,3/30/2023,9706502,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/30/2023,12263810,Barthazal
2.51E+11,3/30/2023,7008438,NYUNGWE CELLULAR LTD
