franchise_id,tbl_dt,commission_amount,name
2.51E+11,3/25/2023,6,CITY COM LTD
2.51E+11,3/25/2023,2,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/25/2023,8,Barthazal
2.51E+11,3/25/2023,7,NYUNGWE CELLULAR LTD
2.51E+11,3/25/2023,10,ESCALE FRANCHISEE LTD
2.51E+11,3/25/2023,4,ESCALE FRANCHISEE LTD
2.51E+11,3/25/2023,6,CITY COM LTD
2.51E+11,3/26/2023,89939,Balthazar
2.51E+11,3/26/2023,8599,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,123032,PHONECOM LTD
2.51E+11,3/26/2023,238009,CITY COM LTD
2.51E+11,3/26/2023,181154,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/26/2023,248781,Barthazal
2.51E+11,3/26/2023,125318,NYUNGWE CELLULAR LTD
2.51E+11,3/26/2023,71438,CITY COM LTD
2.51E+11,3/26/2023,351566,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,221725,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,161832,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,268559,CITY COM LTD
2.51E+11,3/26/2023,17876,ESCALE FRANCHISEE LTD
2.51E+11,3/26/2023,148519,PHONECOM LTD
2.51E+11,3/27/2023,87093,Balthazar
2.51E+11,3/27/2023,7376,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,183692,PHONECOM LTD
2.51E+11,3/27/2023,290076,CITY COM LTD
2.51E+11,3/27/2023,188723,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/27/2023,241132,Barthazal
2.51E+11,3/27/2023,148485,NYUNGWE CELLULAR LTD
2.51E+11,3/27/2023,65568,CITY COM LTD
2.51E+11,3/27/2023,376786,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,223671,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,167509,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,293164,CITY COM LTD
2.51E+11,3/27/2023,15446,ESCALE FRANCHISEE LTD
2.51E+11,3/27/2023,178213,PHONECOM LTD
2.51E+11,3/28/2023,84070,Balthazar
2.51E+11,3/28/2023,7330,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,206326,PHONECOM LTD
2.51E+11,3/28/2023,272059,CITY COM LTD
2.51E+11,3/28/2023,211678,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/28/2023,255372,Barthazal
2.51E+11,3/28/2023,119075,NYUNGWE CELLULAR LTD
2.51E+11,3/28/2023,62653,CITY COM LTD
2.51E+11,3/28/2023,370795,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,219022,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,179521,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,283100,CITY COM LTD
2.51E+11,3/28/2023,15145,ESCALE FRANCHISEE LTD
2.51E+11,3/28/2023,158913,PHONECOM LTD
2.51E+11,3/29/2023,85968,Balthazar
2.51E+11,3/29/2023,7683,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,164965,PHONECOM LTD
2.51E+11,3/29/2023,304613,CITY COM LTD
2.51E+11,3/29/2023,210525,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/29/2023,249263,Barthazal
2.51E+11,3/29/2023,155439,NYUNGWE CELLULAR LTD
2.51E+11,3/29/2023,64891,CITY COM LTD
2.51E+11,3/29/2023,388795,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,227740,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,175962,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,285966,CITY COM LTD
2.51E+11,3/29/2023,16921,ESCALE FRANCHISEE LTD
2.51E+11,3/29/2023,166368,PHONECOM LTD
2.51E+11,3/30/2023,88196,Balthazar
2.51E+11,3/30/2023,7950,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,278033,PHONECOM LTD
2.51E+11,3/30/2023,351395,CITY COM LTD
2.51E+11,3/30/2023,199161,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/30/2023,251305,Barthazal
2.51E+11,3/30/2023,144103,NYUNGWE CELLULAR LTD
2.51E+11,3/30/2023,64596,CITY COM LTD
2.51E+11,3/30/2023,393824,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,234151,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,175934,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,288482,CITY COM LTD
2.51E+11,3/30/2023,16974,ESCALE FRANCHISEE LTD
2.51E+11,3/30/2023,179802,PHONECOM LTD
2.51E+11,3/31/2023,98329,Balthazar
2.51E+11,3/31/2023,7903,ESCALE FRANCHISEE LTD
2.51E+11,3/31/2023,191285,PHONECOM LTD
2.51E+11,3/31/2023,309435,CITY COM LTD
2.51E+11,3/31/2023,217388,CENTRAL ALIMENTATION COM LTD
2.51E+11,3/31/2023,262805,Barthazal
2.51E+11,3/31/2023,137598,NYUNGWE CELLULAR LTD
2.51E+11,3/31/2023,65491,CITY COM LTD
2.51E+11,3/31/2023,366941,ESCALE FRANCHISEE LTD
2.51E+11,3/31/2023,209844,ESCALE FRANCHISEE LTD
2.51E+11,3/31/2023,190477,ESCALE FRANCHISEE LTD
2.51E+11,3/31/2023,274754,CITY COM LTD
2.51E+11,3/31/2023,15059,ESCALE FRANCHISEE LTD
2.51E+11,3/31/2023,162698,PHONECOM LTD
2.51E+11,4/1/2023,89302,Balthazar
2.51E+11,4/1/2023,7626,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,156491,PHONECOM LTD
2.51E+11,4/1/2023,274245,CITY COM LTD
2.51E+11,4/1/2023,212212,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/1/2023,235507,Barthazal
2.51E+11,4/1/2023,155661,NYUNGWE CELLULAR LTD
2.51E+11,4/1/2023,57302,CITY COM LTD
2.51E+11,4/1/2023,364660,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,216234,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,167972,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,261520,CITY COM LTD
2.51E+11,4/1/2023,17306,ESCALE FRANCHISEE LTD
2.51E+11,4/1/2023,152294,PHONECOM LTD
2.51E+11,4/2/2023,88070,Balthazar
2.51E+11,4/2/2023,8407,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,122682,PHONECOM LTD
2.51E+11,4/2/2023,237736,CITY COM LTD
2.51E+11,4/2/2023,183715,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/2/2023,245060,Barthazal
2.51E+11,4/2/2023,133174,NYUNGWE CELLULAR LTD
2.51E+11,4/2/2023,71269,CITY COM LTD
2.51E+11,4/2/2023,355947,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,222006,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,160809,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,275150,CITY COM LTD
2.51E+11,4/2/2023,16481,ESCALE FRANCHISEE LTD
2.51E+11,4/2/2023,158192,PHONECOM LTD
2.51E+11,4/3/2023,89912,Balthazar
2.51E+11,4/3/2023,7453,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,198008,PHONECOM LTD
2.51E+11,4/3/2023,356278,CITY COM LTD
2.51E+11,4/3/2023,228685,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/3/2023,236187,Barthazal
2.51E+11,4/3/2023,145093,NYUNGWE CELLULAR LTD
2.51E+11,4/3/2023,69293,CITY COM LTD
2.51E+11,4/3/2023,384511,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,230361,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,192849,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,271398,CITY COM LTD
2.51E+11,4/3/2023,14803,ESCALE FRANCHISEE LTD
2.51E+11,4/3/2023,175238,PHONECOM LTD
2.51E+11,4/4/2023,91737,Balthazar
2.51E+11,4/4/2023,9250,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,312941,PHONECOM LTD
2.51E+11,4/4/2023,344103,CITY COM LTD
2.51E+11,4/4/2023,213823,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/4/2023,307234,Barthazal
2.51E+11,4/4/2023,148495,NYUNGWE CELLULAR LTD
2.51E+11,4/4/2023,66624,CITY COM LTD
2.51E+11,4/4/2023,371170,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,226256,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,173201,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,287329,CITY COM LTD
2.51E+11,4/4/2023,15778,ESCALE FRANCHISEE LTD
2.51E+11,4/4/2023,201132,PHONECOM LTD
2.51E+11,4/5/2023,82972,Balthazar
2.51E+11,4/5/2023,8412,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,175219,PHONECOM LTD
2.51E+11,4/5/2023,282413,CITY COM LTD
2.51E+11,4/5/2023,194859,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/5/2023,266071,Barthazal
2.51E+11,4/5/2023,143183,NYUNGWE CELLULAR LTD
2.51E+11,4/5/2023,64832,CITY COM LTD
2.51E+11,4/5/2023,372905,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,221499,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,166133,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,292886,CITY COM LTD
2.51E+11,4/5/2023,19592,ESCALE FRANCHISEE LTD
2.51E+11,4/5/2023,162423,PHONECOM LTD
2.51E+11,4/6/2023,78087,Balthazar
2.51E+11,4/6/2023,6820,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,135375,PHONECOM LTD
2.51E+11,4/6/2023,274613,CITY COM LTD
2.51E+11,4/6/2023,182931,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/6/2023,211961,Barthazal
2.51E+11,4/6/2023,118576,NYUNGWE CELLULAR LTD
2.51E+11,4/6/2023,57176,CITY COM LTD
2.51E+11,4/6/2023,316215,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,188602,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,145036,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,244033,CITY COM LTD
2.51E+11,4/6/2023,14841,ESCALE FRANCHISEE LTD
2.51E+11,4/6/2023,158760,PHONECOM LTD
2.51E+11,4/7/2023,74356,Balthazar
2.51E+11,4/7/2023,7326,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,126916,PHONECOM LTD
2.51E+11,4/7/2023,226007,CITY COM LTD
2.51E+11,4/7/2023,151433,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/7/2023,184772,Barthazal
2.51E+11,4/7/2023,134578,NYUNGWE CELLULAR LTD
2.51E+11,4/7/2023,56201,CITY COM LTD
2.51E+11,4/7/2023,320617,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,196484,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,132524,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,228988,CITY COM LTD
2.51E+11,4/7/2023,17480,ESCALE FRANCHISEE LTD
2.51E+11,4/7/2023,130787,PHONECOM LTD
2.51E+11,4/8/2023,84224,Balthazar
2.51E+11,4/8/2023,8162,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,153533,PHONECOM LTD
2.51E+11,4/8/2023,277113,CITY COM LTD
2.51E+11,4/8/2023,197196,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/8/2023,243858,Barthazal
2.51E+11,4/8/2023,146480,NYUNGWE CELLULAR LTD
2.51E+11,4/8/2023,57347,CITY COM LTD
2.51E+11,4/8/2023,340869,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,208125,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,173460,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,261265,CITY COM LTD
2.51E+11,4/8/2023,16671,ESCALE FRANCHISEE LTD
2.51E+11,4/8/2023,151331,PHONECOM LTD
2.51E+11,4/9/2023,92487,Balthazar
2.51E+11,4/9/2023,7669,ESCALE FRANCHISEE LTD
2.51E+11,4/9/2023,124228,PHONECOM LTD
2.51E+11,4/9/2023,232585,CITY COM LTD
2.51E+11,4/9/2023,187776,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/9/2023,249895,Barthazal
